Street Combination,Street Name,From Limit Street,To Limit Street,Maintenance Dates,Functional Class,Most Recent Inspection Grade,Second Most Recent Inspection Grade,Third Most Recent Inspection Grade,Most Recent Inspection Year,Second Most Recent Inspection Year,Third Most Recent Inspection Year,Days Since Last Maintenance,Number of Maintenance Events,Average Time Between Maintenances
MILKY WAY DR|10201|RIVER PLACE BLVD,MILKY WAY DR,10201,RIVER PLACE BLVD,['2016-10-14'],Residential,B,C,C,2021.0,2018.0,2018.0,2852,1,
MILL DAM DR|HYMEADOW CIR|MILL STONE DR,MILL DAM DR,MILL STONE DR,HYMEADOW CIR,['2019-06-13'],Residential,C,C,C,2020.0,2018.0,2018.0,1880,1,
MILL REEF CV|2900|RIVA RIDGE RD,MILL REEF CV,2900,RIVA RIDGE RD,['2016-10-07'],Residential,D,D,D,2021.0,2019.0,2017.0,2859,1,
MILL STONE DR|ANDERSON VILLAGE DR|MOORBERRY ST,MILL STONE DR,MOORBERRY ST,ANDERSON VILLAGE DR,['2019-06-13'],Residential,C,C,C,2020.0,2018.0,2018.0,1880,1,
MILL STONE DR|MEADOWHEATH DR|MOORBERRY ST,MILL STONE DR,MEADOWHEATH DR,MOORBERRY ST,['2019-06-13'],Residential,A,B,B,2020.0,2018.0,2018.0,1880,1,
MILTON ST W|2ND ST S|3RD ST S,MILTON ST W,2ND ST S,3RD ST S,['2017-06-28'],Residential,D,B,A,2021.0,2019.0,2017.0,2595,1,
MILTON ST W|411|ROMA ST,MILTON ST W,ROMA ST,411,['2017-06-28'],Residential,D,C,C,2021.0,2019.0,2017.0,2595,1,
MILTON ST W|5TH ST S|6TH ST S,MILTON ST W,5TH ST S,6TH ST S,['2017-06-28'],Residential,C,C,C,2021.0,2019.0,2017.0,2595,1,
MILTON ST W|5TH ST S|BRIAR ST,MILTON ST W,BRIAR ST,5TH ST S,['2017-06-28'],Collector,C,C,C,2021.0,2019.0,2017.0,2595,1,
MILTON ST W|6TH ST S|7TH ST S,MILTON ST W,6TH ST S,7TH ST S,['2017-06-28'],Residential,C,B,B,2021.0,2019.0,2017.0,2595,1,
MILTON ST W|BOULDIN AVE|BRIAR ST,MILTON ST W,BOULDIN AVE,BRIAR ST,['2017-06-28'],Collector,B,C,C,2021.0,2019.0,2017.0,2595,1,
MILTON ST W|CONGRESS AVE S|EVA ST,MILTON ST W,CONGRESS AVE S,EVA ST,['2019-01-10'],Residential,B,C,C,2021.0,2019.0,2017.0,2034,1,
MILTON ST W|NEWTON ST|ROMA ST,MILTON ST W,NEWTON ST,ROMA ST,['2017-06-28'],Residential,C,C,C,2021.0,2019.0,2017.0,2595,1,
MINCH RD|5713|ADAIR DR,MINCH RD,ADAIR DR,5713,['2018-03-19'],Residential,F,D,D,2020.0,2018.0,2018.0,2331,1,
MINCH RD|ADAIR DR|CUL DE SAC,MINCH RD,ADAIR DR,CUL DE SAC,['2018-03-19'],Residential,D,D,D,2020.0,2018.0,2018.0,2331,1,
MINDA CIR|11600|MINDA DR,MINDA CIR,11600,MINDA DR,['2018-07-17'],Residential,C,C,C,2020.0,2018.0,2018.0,2211,1,
MINDA DR|AUSTIN PARK LN|MINDA CIR,MINDA DR,MINDA CIR,AUSTIN PARK LN,['2018-07-17'],Residential,C,C,C,2020.0,2018.0,2018.0,2211,1,
MINDA DR|EUBANK DR|MINDA CIR,MINDA DR,EUBANK DR,MINDA CIR,['2018-07-17'],Residential,B,C,C,2020.0,2018.0,2018.0,2211,1,
MINOT CIR|ESCABOSA DR|ESCABOSA DR,MINOT CIR,ESCABOSA DR,ESCABOSA DR,['2018-06-13'],Residential,B,B,C,2022.0,2019.0,2017.0,2245,1,
MIRAROSA DR|ESCARPMENT BLVD|MAGGIORE DR,MIRAROSA DR,ESCARPMENT BLVD,MAGGIORE DR,['2018-03-27'],Residential,A,B,B,2022.0,2019.0,2017.0,2323,1,
MISS JULIE LN|DORSETT RD|ENCHANTED FOREST DR,MISS JULIE LN,DORSETT RD,ENCHANTED FOREST DR,['2017-04-26'],Residential,B,C,C,2020.0,2018.0,2018.0,2658,1,
MISSEL THRUSH CT|12100|MISSEL THRUSH DR,MISSEL THRUSH CT,12100,MISSEL THRUSH DR,['2019-05-20'],Residential,D,C,C,2020.0,2018.0,2018.0,1904,1,
MISSEL THRUSH DR|MILLWRIGHT PKWY|WOODLAND VILLAGE DR,MISSEL THRUSH DR,WOODLAND VILLAGE DR,MILLWRIGHT PKWY,['2019-05-20'],Residential,C,C,C,2020.0,2018.0,2018.0,1904,1,
MISSEL THRUSH DR|MISSEL THRUSH CT|SCISSORTAIL DR,MISSEL THRUSH DR,SCISSORTAIL DR,MISSEL THRUSH CT,['2019-05-20'],Residential,C,C,C,2020.0,2018.0,2018.0,1904,1,
MISSEL THRUSH DR|MISSEL THRUSH CT|WOODLAND VILLAGE DR,MISSEL THRUSH DR,MISSEL THRUSH CT,WOODLAND VILLAGE DR,['2019-05-20'],Residential,B,C,C,2020.0,2018.0,2018.0,1904,1,
MISSEL THRUSH DR|ROBIN RIDGE LN|SCISSORTAIL DR,MISSEL THRUSH DR,ROBIN RIDGE LN,SCISSORTAIL DR,['2019-05-20'],Residential,C,B,B,2020.0,2018.0,2018.0,1904,1,
MISSION OAKS BLVD|REPUBLIC OF TEXAS BLVD|SOUTHWEST PKWY,MISSION OAKS BLVD,REPUBLIC OF TEXAS BLVD,SOUTHWEST PKWY,['2018-09-21'],Collector,A,B,B,2021.0,2019.0,2017.0,2145,1,
MISSION RIDGE|CHELSEA LN|KENWOOD AVE,MISSION RIDGE,KENWOOD AVE,CHELSEA LN,['2018-10-10'],Residential,C,B,B,2021.0,2019.0,2017.0,2126,1,
MISTY BROOK CV|4811|MISTY BROOK DR,MISTY BROOK CV,MISTY BROOK DR,4811,['2018-05-02'],Residential,F,C,C,2020.0,2018.0,2018.0,2287,1,
MISTY BROOK DR|GYPSY CV|MISTY BROOK CV,MISTY BROOK DR,MISTY BROOK CV,GYPSY CV,['2018-06-21'],Residential,B,C,C,2020.0,2018.0,2018.0,2237,1,
MISTY BROOK DR|GYPSY CV|WHISPERING VALLEY DR,MISTY BROOK DR,GYPSY CV,WHISPERING VALLEY DR,['2018-06-21'],Residential,F,C,C,2020.0,2018.0,2018.0,2237,1,
MISTY BROOK DR|MISTY BROOK CV|SWITCH WILLO,MISTY BROOK DR,SWITCH WILLO,MISTY BROOK CV,['2018-06-21'],Residential,B,C,C,2020.0,2018.0,2018.0,2237,1,
MITRA DR|ALCANZA DR|MERIDIAN PARK BLVD,MITRA DR,ALCANZA DR,MERIDIAN PARK BLVD,['2017-04-06'],Residential,B,C,C,2022.0,2019.0,2017.0,2678,1,
MITRA DR|ALCANZA DR|SUNDERA DR,MITRA DR,SUNDERA DR,ALCANZA DR,['2017-04-06'],Residential,A,B,B,2022.0,2019.0,2017.0,2678,1,
MITRA DR|BUVANA DR|PURNIMA CV,MITRA DR,PURNIMA CV,BUVANA DR,['2017-04-06'],Residential,A,A,B,2022.0,2022.0,2019.0,2678,1,
MITRA DR|BUVANA DR|TERRANOVA CV,MITRA DR,BUVANA DR,TERRANOVA CV,['2017-04-06'],Residential,A,A,A,2022.0,2019.0,2017.0,2678,1,
MITRA DR|SUNDERA DR|TERRANOVA CV,MITRA DR,TERRANOVA CV,SUNDERA DR,['2017-04-06'],Residential,A,B,B,2022.0,2019.0,2017.0,2678,1,
MOCCASIN PATH|HALESBORO DR|SMOKEY HILL RD,MOCCASIN PATH,SMOKEY HILL RD,HALESBORO DR,['2019-11-01'],Residential,B,B,B,2022.0,2019.0,2017.0,1739,1,
MOCCASIN PATH|HALESBORO DR|WINDTHORST CV,MOCCASIN PATH,HALESBORO DR,WINDTHORST CV,['2019-11-01'],Residential,A,B,A,2022.0,2019.0,2017.0,1739,1,
MOCCASIN PATH|NANDAS TRL|TEXHOMA CV,MOCCASIN PATH,TEXHOMA CV,NANDAS TRL,['2019-11-01'],Residential,A,B,A,2022.0,2019.0,2017.0,1739,1,
MOCCASIN PATH|TEXHOMA CV|WINDTHORST CV,MOCCASIN PATH,WINDTHORST CV,TEXHOMA CV,['2019-11-01'],Residential,A,B,A,2022.0,2019.0,2017.0,1739,1,
MOCK CHERRY CV|CUL DE SAC|GRIZZLY OAK DR,MOCK CHERRY CV,GRIZZLY OAK DR,CUL DE SAC,['2016-10-19'],Residential,D,B,A,2022.0,2019.0,2017.0,2847,1,
MOCKINGBIRD LN E|CONGRESS AVE S|WASSON RD,MOCKINGBIRD LN E,CONGRESS AVE S,WASSON RD,['2018-10-29'],Residential,F,C,C,2022.0,2019.0,2017.0,2107,1,
MOCKINGBIRD LN W|BLUE BIRD LN|CONGRESS AVE S,MOCKINGBIRD LN W,CONGRESS AVE S,BLUE BIRD LN,['2018-10-29'],Residential,C,B,B,2022.0,2019.0,2017.0,2107,1,
MOCKINGBIRD LN W|BLUE BIRD LN|HUMMING BIRD LN,MOCKINGBIRD LN W,BLUE BIRD LN,HUMMING BIRD LN,['2018-10-29'],Residential,B,B,B,2022.0,2019.0,2017.0,2107,1,
MOCKINGBIRD LN W|HARVEST LN|HUMMING BIRD LN,MOCKINGBIRD LN W,HUMMING BIRD LN,HARVEST LN,['2018-10-29'],Residential,D,F,F,2022.0,2019.0,2017.0,2107,1,
MONARCH DR|CASTLEWOOD DR|ROXANNA DR,MONARCH DR,ROXANNA DR,CASTLEWOOD DR,['2018-06-23'],Collector,C,D,D,2022.0,2019.0,2017.0,2235,1,
MONARCH DR|CASTLEWOOD DR|WOODSHIRE DR,MONARCH DR,CASTLEWOOD DR,WOODSHIRE DR,['2018-06-23'],Collector,C,C,C,2022.0,2019.0,2017.0,2235,1,
MONARCH DR|CURLEW DR|MARSH DR,MONARCH DR,MARSH DR,CURLEW DR,['2018-06-23'],Collector,D,F,F,2022.0,2019.0,2017.0,2235,1,
MONARCH DR|MANCHACA RD|ROXANNA DR,MONARCH DR,MANCHACA RD,ROXANNA DR,['2018-06-23'],Collector,C,C,C,2022.0,2019.0,2017.0,2235,1,
MONARCH DR|MARSH DR|PRINCEWOOD PASS,MONARCH DR,PRINCEWOOD PASS,MARSH DR,['2018-06-23'],Collector,B,C,C,2022.0,2019.0,2017.0,2235,1,
MONARCH DR|PRINCEWOOD PASS|WOODSHIRE DR,MONARCH DR,WOODSHIRE DR,PRINCEWOOD PASS,['2018-06-23'],Collector,C,B,A,2022.0,2019.0,2017.0,2235,1,
MONROE ST E|BRACKENRIDGE ST|DRAKE AVE,MONROE ST E,BRACKENRIDGE ST,DRAKE AVE,['2017-07-17'],Collector,D,C,C,2021.0,2019.0,2017.0,2576,1,
MONROE ST E|BRACKENRIDGE ST|NICKERSON ST,MONROE ST E,NICKERSON ST,BRACKENRIDGE ST,['2017-07-17'],Collector,D,D,D,2021.0,2019.0,2017.0,2576,1,
MONROE ST E|CONGRESS AVE S|NICKERSON ST,MONROE ST E,CONGRESS AVE S,NICKERSON ST,['2017-07-17'],Collector,F,D,D,2021.0,2019.0,2017.0,2576,1,
MONROE ST E|DRAKE AVE|NEWNING AVE,MONROE ST E,DRAKE AVE,NEWNING AVE,['2017-07-17'],Collector,D,B,B,2021.0,2019.0,2017.0,2576,1,
MONROE ST E|EAST SIDE DR|NEWNING AVE,MONROE ST E,NEWNING AVE,EAST SIDE DR,['2017-07-17'],Collector,C,D,F,2021.0,2019.0,2017.0,2576,1,
MONROE ST W|1117|7TH ST S,MONROE ST W,7TH ST S,1117,['2017-07-10'],Residential,C,,,2017.0,,,2583,1,
MONROE ST W|3RD ST S|BOULDIN AVE,MONROE ST W,3RD ST S,BOULDIN AVE,['2017-07-10'],Collector,C,B,B,2021.0,2019.0,2017.0,2583,1,
MONROE ST W|5TH ST S|7TH ST S,MONROE ST W,5TH ST S,7TH ST S,['2017-07-10'],Residential,B,B,B,2021.0,2019.0,2017.0,2583,1,
MONROE ST W|5TH ST S|BOULDIN AVE,MONROE ST W,BOULDIN AVE,5TH ST S,['2017-07-10'],Collector,D,C,C,2021.0,2019.0,2017.0,2583,1,
MONROE ST W|NEWTON ST|ROMA ST,MONROE ST W,NEWTON ST,ROMA ST,['2017-06-28'],Collector,C,F,F,2021.0,2019.0,2017.0,2595,1,
MONTANA SKY DR|1801|UTAH FLATS DR,MONTANA SKY DR,1801,UTAH FLATS DR,['2018-07-17'],Residential,C,C,C,2020.0,2018.0,2018.0,2211,1,
MONTANA SKY DR|CHASEWOOD DR|UTAH FLATS DR,MONTANA SKY DR,UTAH FLATS DR,CHASEWOOD DR,['2018-07-17'],Residential,A,C,C,2020.0,2018.0,2018.0,2211,1,
MONTANA ST|FRONTERA LN|FRONTIER VALLEY,MONTANA ST,FRONTERA LN,FRONTIER VALLEY,['2018-08-01'],Residential,C,C,D,2021.0,2019.0,2017.0,2196,1,
MONTANA ST|FRONTERA LN|VILLITA AVENIDA,MONTANA ST,VILLITA AVENIDA,FRONTERA LN,['2018-08-01'],Residential,F,F,D,2021.0,2019.0,2017.0,2196,1,
MONTANA ST|LAWRENCE ST|VILLITA AVENIDA,MONTANA ST,LAWRENCE ST,VILLITA AVENIDA,['2018-08-01'],Residential,F,F,F,2021.0,2019.0,2017.0,2196,1,
MONTE VISTA DR|MOUNT BARKER DR|MOUNT BARKER DR,MONTE VISTA DR,MOUNT BARKER DR,MOUNT BARKER DR,['2018-10-22'],Residential,C,C,C,2021.0,2018.0,2018.0,2114,1,
MONTEBELLO CT|2901|MONTEBELLO RD,MONTEBELLO CT,MONTEBELLO RD,2901,['2016-10-06'],Residential,F,C,D,2021.0,2019.0,2017.0,2860,1,
MONTEBELLO CT|2902|2914,MONTEBELLO CT,2902,2914,['2016-10-06'],Residential,C,C,C,2021.0,2019.0,2017.0,2860,1,
MONTEBELLO CT|2903|2911,MONTEBELLO CT,2903,2911,['2016-10-06'],Residential,D,B,B,2021.0,2019.0,2017.0,2860,1,
MONTEBELLO RD|2800|2803,MONTEBELLO RD,2800,2803,['2016-10-06'],Collector,B,D,D,2021.0,2019.0,2017.0,2860,1,
MONTEBELLO RD|2804|2835,MONTEBELLO RD,2804,2835,['2016-10-06'],Collector,C,C,C,2021.0,2019.0,2017.0,2860,1,
MONTEBELLO RD|2905|MONTEBELLO CT,MONTEBELLO RD,MONTEBELLO CT,2905,['2016-10-06'],Collector,B,C,C,2021.0,2019.0,2017.0,2860,1,
MONTEBELLO RD|2906|BEE CAVES RD,MONTEBELLO RD,2906,BEE CAVES RD,"['2016-10-06', '2016-10-11']",,,,,,,,2855,2,5.0
MONTEREY OAKS BLVD|4000|4112,MONTEREY OAKS BLVD,4000,4112,['2019-08-08'],Residential,B,B,B,2022.0,2019.0,2017.0,1824,1,
MONTEREY OAKS BLVD|4001|4113,MONTEREY OAKS BLVD,4001,4113,['2019-08-08'],Residential,B,B,B,2022.0,2019.0,2017.0,1824,1,
MONTEREY OAKS BLVD|4114|4208,MONTEREY OAKS BLVD,4114,4208,['2019-08-08'],Residential,A,A,A,2022.0,2019.0,2017.0,1824,1,
MONTEREY OAKS BLVD|4115|4209,MONTEREY OAKS BLVD,4115,4209,['2019-08-08'],Residential,A,A,A,2022.0,2019.0,2017.0,1824,1,
MONTEREY OAKS BLVD|4210|4340,MONTEREY OAKS BLVD,4210,4340,['2019-08-08'],Residential,A,A,B,2022.0,2019.0,2017.0,1824,1,
MONTEREY OAKS BLVD|4211|4341,MONTEREY OAKS BLVD,4211,4341,['2019-08-08'],Residential,A,A,A,2022.0,2019.0,2017.0,1824,1,
MONTEREY OAKS BLVD|4400|4504,MONTEREY OAKS BLVD,4400,4504,['2019-08-08'],Residential,B,B,B,2022.0,2019.0,2017.0,1824,1,
MONTEREY OAKS BLVD|4401|4505,MONTEREY OAKS BLVD,4401,4505,['2019-08-08'],Residential,B,B,B,2022.0,2019.0,2017.0,1824,1,
MONTEREY OAKS BLVD|4506|4608,MONTEREY OAKS BLVD,4506,4608,['2019-08-08'],Residential,B,A,A,2022.0,2019.0,2017.0,1824,1,
MONTEREY OAKS BLVD|4507|4609,MONTEREY OAKS BLVD,4507,4609,['2019-08-08'],Residential,B,B,B,2022.0,2019.0,2017.0,1824,1,
MONTEREY OAKS BLVD|4610|4740,MONTEREY OAKS BLVD,4610,4740,['2019-08-08'],Residential,B,A,A,2022.0,2019.0,2017.0,1824,1,
MONTEREY OAKS BLVD|4611|4741,MONTEREY OAKS BLVD,4611,4741,['2019-08-08'],Residential,B,B,B,2022.0,2019.0,2017.0,1824,1,
MONTEREY OAKS BLVD|4800|4828,MONTEREY OAKS BLVD,4800,4828,['2019-08-08'],Residential,A,B,B,2022.0,2019.0,2017.0,1824,1,
MONTEREY OAKS BLVD|4801|4829,MONTEREY OAKS BLVD,4801,4829,['2019-08-08'],Residential,B,B,B,2022.0,2019.0,2017.0,1824,1,
MONTEREY OAKS BLVD|4900|4928,MONTEREY OAKS BLVD,4900,4928,['2019-08-08'],Residential,B,B,C,2022.0,2019.0,2017.0,1824,1,
MONTEREY OAKS BLVD|4901|4929,MONTEREY OAKS BLVD,4901,4929,['2019-08-08'],Residential,B,B,B,2022.0,2019.0,2017.0,1824,1,
MONTERREY PL|OAK HAVEN RD|OAK TRL,MONTERREY PL,OAK TRL,OAK HAVEN RD,['2017-07-19'],Residential,C,C,C,2020.0,2018.0,2018.0,2574,1,
MONTEZUMA ST|AUTUMAN BAY DR|BRONCO BEND LOOP,MONTEZUMA ST,AUTUMAN BAY DR,BRONCO BEND LOOP,['2018-08-06'],Residential,C,C,D,2022.0,2019.0,2017.0,2191,1,
MONTEZUMA ST|BRONCO BEND LOOP|CARBONDALE AVE,MONTEZUMA ST,BRONCO BEND LOOP,CARBONDALE AVE,['2018-08-06'],Residential,C,C,C,2022.0,2019.0,2017.0,2191,1,
MONTOPOLIS DR|3100|3218,MONTOPOLIS DR,3100,3218,['2018-12-15'],Arterial,C,D,D,2022.0,2019.0,2017.0,2060,1,
MONTOPOLIS DR|3101|3217,MONTOPOLIS DR,3101,3217,['2018-12-15'],Arterial,C,D,D,2022.0,2019.0,2017.0,2060,1,
MONTOPOLIS DR|3300|3304,MONTOPOLIS DR,3300,3304,['2018-12-15'],Arterial,C,C,B,2022.0,2019.0,2017.0,2060,1,
MONTOPOLIS DR|3301|3305,MONTOPOLIS DR,3301,3305,['2018-12-15'],Arterial,D,D,D,2022.0,2019.0,2017.0,2060,1,
MONTOPOLIS DR|3306|TRADE CENTER DR,MONTOPOLIS DR,3306,TRADE CENTER DR,['2018-12-15'],Arterial,C,D,D,2022.0,2019.0,2017.0,2060,1,
MONTOPOLIS DR|3307|3317,MONTOPOLIS DR,3307,3317,['2018-12-15'],Arterial,C,C,C,2022.0,2019.0,2017.0,2060,1,
MONTOPOLIS DR|3401|3513,MONTOPOLIS DR,3401,3513,['2018-12-15'],Arterial,D,D,D,2022.0,2019.0,2017.0,2060,1,
MONTOPOLIS DR|3512|TRADE CENTER DR,MONTOPOLIS DR,TRADE CENTER DR,3512,['2018-12-15'],Arterial,F,F,F,2022.0,2019.0,2017.0,2060,1,
MONTOPOLIS DR|3514|3612,MONTOPOLIS DR,3514,3612,['2018-12-15'],Arterial,D,F,D,2022.0,2019.0,2017.0,2060,1,
MONTOPOLIS DR|3515|3603,MONTOPOLIS DR,3515,3603,['2018-12-15'],Arterial,F,F,D,2022.0,2019.0,2017.0,2060,1,
MONTOPOLIS DR|CLUB TER|HOGAN AVE,MONTOPOLIS DR,HOGAN AVE,CLUB TER,['2019-02-14'],Arterial,F,C,C,2021.0,2019.0,2017.0,1999,1,
MONTOPOLIS DR|CLUB TER|LARCH TER,MONTOPOLIS DR,CLUB TER,LARCH TER,['2019-02-14'],Arterial,F,D,D,2021.0,2019.0,2017.0,1999,1,
MONTOPOLIS DR|FELIX AVE|FELIX AVE,MONTOPOLIS DR,FELIX AVE,FELIX AVE,['2019-02-14'],Arterial,B,D,D,2021.0,2019.0,2017.0,1999,1,
MONTOPOLIS DR|FELIX AVE|HOGAN AVE,MONTOPOLIS DR,FELIX AVE,HOGAN AVE,['2019-02-14'],Arterial,D,D,D,2021.0,2019.0,2017.0,1999,1,
MONTOPOLIS DR|FELIX AVE|RICHARDSON LN,MONTOPOLIS DR,RICHARDSON LN,FELIX AVE,['2019-02-14'],Arterial,D,D,D,2021.0,2019.0,2017.0,1999,1,
MONTOPOLIS DR|OLD BURLESON RD|STASSNEY LN E,MONTOPOLIS DR,OLD BURLESON RD,STASSNEY LN E,['2018-12-15'],Arterial,F,F,F,2022.0,2019.0,2017.0,2060,1,
MONTOUR DR|CAMBRIA COAST RUN|CANNON MARK WAY,MONTOUR DR,CAMBRIA COAST RUN,CANNON MARK WAY,['2018-03-12'],Residential,A,B,B,2020.0,2018.0,2018.0,2338,1,
MONTOUR DR|CAMBRIA COAST RUN|NICOLE WAY,MONTOUR DR,NICOLE WAY,CAMBRIA COAST RUN,['2018-03-12'],Residential,A,C,C,2020.0,2018.0,2018.0,2338,1,
MONTOUR DR|CANNON MARK WAY|CUL DE SAC,MONTOUR DR,CANNON MARK WAY,CUL DE SAC,['2018-03-12'],Residential,C,B,B,2020.0,2018.0,2018.0,2338,1,
MONTOUR DR|NICOLE WAY|STAKED PLAINS DR,MONTOUR DR,STAKED PLAINS DR,NICOLE WAY,['2018-03-12'],Residential,A,C,C,2020.0,2018.0,2018.0,2338,1,
MONTWOOD TRL|ALLWOOD PATH|SUNLAND DR,MONTWOOD TRL,SUNLAND DR,ALLWOOD PATH,['2019-08-07'],Residential,B,B,A,2022.0,2019.0,2017.0,1825,1,
MONTWOOD TRL|ALLWOOD PATH|TRAWOOD PATH,MONTWOOD TRL,ALLWOOD PATH,TRAWOOD PATH,['2019-08-07'],Residential,B,B,A,2022.0,2019.0,2017.0,1825,1,
MONTWOOD TRL|SUSSEX GARDENS LN|WARWICK WAY,MONTWOOD TRL,SUSSEX GARDENS LN,WARWICK WAY,['2019-08-07'],Residential,C,D,D,2022.0,2019.0,2017.0,1825,1,
MONTWOOD TRL|SUSSEX GARDENS LN|YANDALL DR,MONTWOOD TRL,YANDALL DR,SUSSEX GARDENS LN,['2019-08-07'],Residential,C,B,B,2022.0,2019.0,2017.0,1825,1,
MONTWOOD TRL|TRAWOOD PATH|YANDALL DR,MONTWOOD TRL,TRAWOOD PATH,YANDALL DR,['2019-08-07'],Residential,C,B,B,2022.0,2019.0,2017.0,1825,1,
MOON LARK CT|3700|WESTLAKE DR,MOON LARK CT,3700,WESTLAKE DR,['2016-10-07'],Residential,D,C,C,2021.0,2019.0,2017.0,2859,1,
MOON SHADOW CV|4001|MOON SHADOW DR,MOON SHADOW CV,4001,MOON SHADOW DR,"['2017-05-02', '2017-05-02']",Residential,D,D,D,2021.0,2019.0,2017.0,2652,2,0.0
MOON SHADOW DR|GREAT PLAINS DR|MOON SHADOW CV,MOON SHADOW DR,GREAT PLAINS DR,MOON SHADOW CV,"['2017-05-03', '2017-05-03']",Residential,A,B,B,2021.0,2019.0,2017.0,2651,2,0.0
MOON SHADOW DR|GREAT PLAINS DR|REPUBLIC OF TEXAS BLVD,MOON SHADOW DR,REPUBLIC OF TEXAS BLVD,GREAT PLAINS DR,"['2017-05-03', '2017-05-03']",Residential,C,B,B,2021.0,2019.0,2017.0,2651,2,0.0
MOON SHADOW DR|MOON SHADOW CV|PAINTED SHIELD DR,MOON SHADOW DR,MOON SHADOW CV,PAINTED SHIELD DR,"['2017-05-03', '2017-05-03']",Residential,B,B,B,2021.0,2019.0,2017.0,2651,2,0.0
MOON SHADOW DR|PAINTED SHIELD DR|TRAVIS COUNTRY CIR,MOON SHADOW DR,PAINTED SHIELD DR,TRAVIS COUNTRY CIR,['2017-05-03'],Residential,C,D,D,2021.0,2019.0,2017.0,2651,1,
MOONGLOW DR|ASTRO VIEW DR|VIRGO LN,MOONGLOW DR,ASTRO VIEW DR,VIRGO LN,['2017-08-22'],Residential,F,D,D,2021.0,2018.0,2018.0,2540,1,
MOONGLOW DR|SANDSHOF DR|VIRGO LN,MOONGLOW DR,VIRGO LN,SANDSHOF DR,['2017-08-22'],Residential,C,C,C,2021.0,2018.0,2018.0,2540,1,
MOORBERRY ST|9610|MILL STONE DR,MOORBERRY ST,9610,MILL STONE DR,['2019-06-10'],Residential,B,C,C,2020.0,2018.0,2018.0,1883,1,
MOORBERRY ST|MEADOWHEATH DR|MILL STONE DR,MOORBERRY ST,MILL STONE DR,MEADOWHEATH DR,['2019-06-10'],Residential,B,C,C,2020.0,2018.0,2018.0,1883,1,
MOORE BLVD|GROOMS ST|WALLING DR,MOORE BLVD,GROOMS ST,WALLING DR,['2019-01-08'],Residential,C,A,A,2021.0,2018.0,2018.0,2036,1,
MORADO CIR|10400|10420,MORADO CIR,10400,10420,['2019-06-28'],Collector,B,C,C,2020.0,2018.0,2018.0,1865,1,
MORADO CIR|10401|10421,MORADO CIR,10401,10421,['2019-06-28'],Collector,C,C,C,2020.0,2018.0,2018.0,1865,1,
MORADO CIR|10422|10430,MORADO CIR,10422,10430,['2019-06-28'],Collector,B,B,B,2020.0,2018.0,2018.0,1865,1,
MORADO CIR|10423|10431,MORADO CIR,10423,10431,['2019-06-28'],Collector,B,B,B,2020.0,2018.0,2018.0,1865,1,
MORADO CIR|10432|10452,MORADO CIR,10432,10452,['2019-06-28'],Collector,D,C,C,2020.0,2018.0,2018.0,1865,1,
MORADO CIR|10433|10453,MORADO CIR,10433,10453,['2019-06-28'],Collector,C,C,C,2020.0,2018.0,2018.0,1865,1,
MORADO CIR|10500|10528,MORADO CIR,10500,10528,['2019-06-28'],Collector,D,C,C,2020.0,2018.0,2018.0,1865,1,
MORADO CIR|10600|10647,MORADO CIR,10600,10647,['2019-06-28'],Collector,B,B,B,2020.0,2018.0,2018.0,1865,1,
MORADO CIR|JOLLYVILLE RD|MISTING FALLS TRL,MORADO CIR,MISTING FALLS TRL,JOLLYVILLE RD,['2019-06-28'],Collector,B,C,C,2020.0,2018.0,2018.0,1865,1,
MORADO CIR|MISTING FALLS TRL|MORADO CV,MORADO CIR,MORADO CV,MISTING FALLS TRL,['2019-06-28'],Collector,B,B,B,2020.0,2018.0,2018.0,1865,1,
MORADO CV|10300|MORADO CIR,MORADO CV,10300,MORADO CIR,['2019-06-28'],Residential,B,C,C,2020.0,2018.0,2018.0,1865,1,
MORAVIAN CV|8000|FOREST MESA DR,MORAVIAN CV,8000,FOREST MESA DR,['2019-02-25'],Residential,D,D,D,2020.0,2018.0,2018.0,1988,1,
MORDRED CT|11401|MORDRED LN,MORDRED CT,11401,MORDRED LN,['2016-10-12'],Residential,C,C,C,2022.0,2019.0,2017.0,2854,1,
MORDRED LN|6149|PEBBLE GARDEN LN,MORDRED LN,PEBBLE GARDEN LN,6149,['2016-10-12'],Residential,B,C,C,2022.0,2019.0,2017.0,2854,1,
MORDRED LN|BACK BAY LN|OHMFIELD CT,MORDRED LN,BACK BAY LN,OHMFIELD CT,['2016-10-12'],Residential,D,B,B,2022.0,2019.0,2017.0,2854,1,
MORDRED LN|MAGNA CT|MORDRED CT,MORDRED LN,MAGNA CT,MORDRED CT,['2016-10-12'],Residential,B,B,B,2022.0,2019.0,2017.0,2854,1,
MORDRED LN|MAGNA CT|OHMFIELD CT,MORDRED LN,OHMFIELD CT,MAGNA CT,['2016-10-12'],Residential,B,B,B,2022.0,2019.0,2017.0,2854,1,
MORDRED LN|MORDRED CT|POMPEY CT,MORDRED LN,MORDRED CT,POMPEY CT,['2016-10-12'],Residential,A,A,A,2022.0,2019.0,2017.0,2854,1,
MORDRED LN|PEBBLE GARDEN LN|POMPEY CT,MORDRED LN,POMPEY CT,PEBBLE GARDEN LN,['2016-10-12'],Residential,A,B,B,2022.0,2019.0,2017.0,2854,1,
