Street Combination,Street Name,From Limit Street,To Limit Street,Maintenance Dates,Functional Class,Most Recent Inspection Grade,Second Most Recent Inspection Grade,Third Most Recent Inspection Grade,Most Recent Inspection Year,Second Most Recent Inspection Year,Third Most Recent Inspection Year,Days Since Last Maintenance,Number of Maintenance Events,Average Time Between Maintenances
PLOW HORSE CV|nan|nan,PLOW HORSE CV,,,['2019-11-01'],Residential,B,B,,2018.0,2018.0,,1739,1,
PLUTO LN|12500|GANYMEDE DR,PLUTO LN,12500,GANYMEDE DR,['2017-04-24'],Residential,C,C,C,2020.0,2018.0,2018.0,2660,1,
POINT VISTA PL|ABERDEEN WAY|DOBIE DR,POINT VISTA PL,ABERDEEN WAY,DOBIE DR,['2018-08-08'],Residential,B,B,B,2020.0,2018.0,2018.0,2189,1,
POINT VISTA PL|BONNIE BRAE|DOBIE DR,POINT VISTA PL,DOBIE DR,BONNIE BRAE,['2018-08-08'],Residential,B,C,C,2020.0,2018.0,2018.0,2189,1,
POINTER LN|BRIARDALE DR|POINTER LN W,POINTER LN,POINTER LN W,BRIARDALE DR,['2018-02-16'],Residential,D,C,C,2020.0,2018.0,2018.0,2362,1,
POINTER LN|PAYTON GIN RD|POINTER LN W,POINTER LN,PAYTON GIN RD,POINTER LN W,['2018-02-16'],Residential,D,C,C,2020.0,2018.0,2018.0,2362,1,
POLO RD|HARTFORD RD|NEWFIELD LN,POLO RD,HARTFORD RD,NEWFIELD LN,['2019-04-04'],Residential,C,F,F,2021.0,2018.0,2018.0,1950,1,
POMMEL CV|8301|POMMEL DR,POMMEL CV,8301,POMMEL DR,['2016-10-21'],Residential,F,C,C,2020.0,2018.0,2018.0,2845,1,
POMMEL DR|8200|MELLOW LN,POMMEL DR,MELLOW LN,8200,['2016-10-25'],,,,,,,,2841,1,
POMMEL DR|8200|SABER CREEK TRL,POMMEL DR,8200,SABER CREEK TRL,['2016-10-25'],Residential,C,B,B,2020.0,2018.0,2018.0,2841,1,
POMMEL DR|POMMEL CV|SABER CREEK TRL,POMMEL DR,SABER CREEK TRL,POMMEL CV,['2016-10-25'],Residential,A,A,A,2020.0,2018.0,2018.0,2841,1,
POMMEL DR|POMMEL CV|SPICEWOOD SPRINGS CV,POMMEL DR,POMMEL CV,SPICEWOOD SPRINGS CV,['2016-10-25'],Residential,B,C,C,2020.0,2018.0,2018.0,2841,1,
POMPEY CT|11301|MORDRED LN,POMPEY CT,11301,MORDRED LN,['2016-10-12'],Residential,D,C,C,2022.0,2019.0,2017.0,2854,1,
PONCHA PASS|6301|BENDING OAK RD,PONCHA PASS,6301,BENDING OAK RD,['2017-08-16'],Residential,B,C,C,2022.0,2019.0,2017.0,2546,1,
PONCHA PASS|BENDING OAK RD|KENOSHA PASS,PONCHA PASS,BENDING OAK RD,KENOSHA PASS,['2017-08-16'],Residential,C,C,C,2022.0,2019.0,2017.0,2546,1,
PONCHA PASS|BREEZY PASS|CONVICT HILL RD,PONCHA PASS,BREEZY PASS,CONVICT HILL RD,['2017-08-16'],Residential,C,B,B,2022.0,2019.0,2017.0,2546,1,
PONCHA PASS|BREEZY PASS|LA CONCHA PASS,PONCHA PASS,LA CONCHA PASS,BREEZY PASS,['2017-08-16'],Residential,B,C,C,2022.0,2019.0,2017.0,2546,1,
PONCHA PASS|CLARA MARIE CV|DEBCOE DR,PONCHA PASS,DEBCOE DR,CLARA MARIE CV,['2017-08-16'],Residential,C,C,C,2022.0,2019.0,2017.0,2546,1,
PONCHA PASS|CLARA MARIE CV|TELLURIDE TRL,PONCHA PASS,CLARA MARIE CV,TELLURIDE TRL,['2017-08-16'],Residential,B,B,A,2022.0,2019.0,2017.0,2546,1,
PONCHA PASS|CONVICT HILL RD|LA CONCHA PASS,PONCHA PASS,CONVICT HILL RD,LA CONCHA PASS,['2017-08-16'],Residential,B,B,B,2022.0,2019.0,2017.0,2546,1,
PONCHA PASS|DEBCOE DR|LA CONCHA PASS,PONCHA PASS,LA CONCHA PASS,DEBCOE DR,['2017-08-16'],Residential,B,B,B,2022.0,2019.0,2017.0,2546,1,
PONCHA PASS|KENOSHA PASS|SAMAR CV,PONCHA PASS,KENOSHA PASS,SAMAR CV,['2017-08-16'],Residential,C,B,F,2022.0,2019.0,2017.0,2546,1,
PONCHA PASS|LA CONCHA PASS|SAMAR CV,PONCHA PASS,SAMAR CV,LA CONCHA PASS,['2017-08-16'],Residential,B,B,B,2022.0,2019.0,2017.0,2546,1,
PONCHA PASS|SNOWBIRD PASS|TELLURIDE TRL,PONCHA PASS,TELLURIDE TRL,SNOWBIRD PASS,['2017-08-16'],Residential,B,B,B,2022.0,2019.0,2017.0,2546,1,
PONCIANA LOOP|PONCIANA DR|PONCIANA DR,PONCIANA LOOP,PONCIANA DR,PONCIANA DR,['2018-09-25'],Residential,C,C,C,2022.0,2019.0,2017.0,2141,1,
POND VIEW CIR|10112|WARRINGTON DR,POND VIEW CIR,WARRINGTON DR,10112,['2018-07-11'],Residential,D,C,C,2020.0,2018.0,2018.0,2217,1,
