ID,Length,Material,Diameter,Installed,Leak Occurred
100451,152.85 ft,PVC,8,39715,0
100452,4 ft,PVC,8,39715,0
100453,3.56 ft,PVC,8,39715,0
100454,10 ft,PVC,8,39715,0
100455,28.94 ft,PVC,8,39715,0
100456,7.6 ft,PVC,6,39715,0
100457,7.5 ft,PVC,6,39715,0
100458,10 ft,PVC,8,39715,0
100459,213.72 ft,PVC,8,39715,0
100460,7.27 ft,PVC,6,39715,0
100461,7.25 ft,PVC,6,39715,0
100462,10 ft,PVC,8,39715,0
100463,241 ft,PVC,8,39715,0
100464,10.05 ft,PVC,8,39715,0
100465,9.5 ft,Cast Iron,6,21916,0
100466,312.44 ft,PVC,8,39598,0
100467,3.7 ft,PVC,6,39598,0
100468,3.5 ft,PVC,6,39598,0
100469,9.59 ft,PVC,8,39598,0
100470,14 ft,PVC,8,39598,0
100471,10.45 ft,PVC,8,39598,0
100472,164 ft,PVC,8,39598,0
100473,4.54 ft,PVC,8,39598,0
100474,4 ft,PVC,8,39598,0
100475,11.54 ft,Reinforced Concrete Cylinder Pipe,18,25569,0
100476,9.81 ft,PVC,8,39598,0
100477,88 ft,PVC,8,39598,0
100478,7 ft,PVC,8,39598,0
100479,10.27 ft,PVC,8,39598,0
10048,129.55 ft,PVC,12,31413,0
100480,282 ft,PVC,8,39598,0
100481,10.2 ft,PVC,8,39598,0
100482,507 ft,PVC,8,39598,0
100483,10 ft,PVC,8,39598,0
100484,3.28 ft,PVC,6,39598,0
100485,3.2 ft,PVC,6,39598,0
100486,286.06 ft,PVC,8,39598,0
100487,10 ft,PVC,8,39598,0
100488,3.12 ft,PVC,6,39598,0
100489,3.1 ft,PVC,6,39598,0
10049,84.89 ft,Cast Iron,8,25569,0
100490,260.09 ft,PVC,8,39598,0
100492,258.33 ft,PVC,8,39598,0
100493,3.9 ft,PVC,6,39598,0
100494,3.93 ft,PVC,6,39598,0
100495,35.08 ft,PVC,8,39598,0
100496,10 ft,PVC,8,39598,0
100497,299.39 ft,PVC,8,39598,0
100498,3.93 ft,PVC,6,39598,0
100499,3.9 ft,PVC,6,39598,0
1005,12.13 ft,PVC,6,33970,0
10050,20.59 ft,Cast Iron,8,26665,0
100500,9.44 ft,PVC,8,39598,0
100501,16.76 ft,PVC,8,39598,0
100502,2.71 ft,PVC,6,39598,0
100504,10 ft,PVC,8,39598,0
100505,13.04 ft,PVC,8,39598,0
100506,3.1 ft,PVC,6,39598,0
100507,3.21 ft,PVC,6,39598,0
100508,309.93 ft,PVC,8,39598,0
100509,9.8 ft,PVC,8,39598,0
10051,168.35 ft,Ductile Iron,6,29587,0
100510,5 ft,PVC,6,39598,0
100511,6.79 ft,PVC,6,39598,0
100512,410.96 ft,PVC,8,39598,0
