Street Name,Segment ID,From Limit Street,To Limit Street,Maintenance Dates,Treatments,Street_Condition_2018.0,Street_Condition_2020.0,Street_Condition_2022.0,Street_Condition_2021.0,Street_Condition_2019.0,Street_Condition_2017.0,Street_Condition_2013.0,Street Name_2018.0,Street Name_2020.0,Street Name_2022.0,Street Name_2021.0,Street Name_2019.0,Street Name_2017.0,Street Name_2013.0,From Limit Street_2018.0,From Limit Street_2020.0,From Limit Street_2022.0,From Limit Street_2021.0,From Limit Street_2019.0,From Limit Street_2017.0,From Limit Street_2013.0,To Limit Street_2018.0,To Limit Street_2020.0,To Limit Street_2022.0,To Limit Street_2021.0,To Limit Street_2019.0,To Limit Street_2017.0,To Limit Street_2013.0,Functional Class_2018.0,Functional Class_2020.0,Functional Class_2022.0,Functional Class_2021.0,Functional Class_2019.0,Functional Class_2017.0,Functional Class_2013.0,Final_Grade_2018.0,Final_Grade_2020.0,Final_Grade_2022.0,Final_Grade_2021.0,Final_Grade_2019.0,Final_Grade_2017.0,Final_Grade_2013.0,Inspection ID_2018.0,Inspection ID_2020.0,Inspection ID_2022.0,Inspection ID_2021.0,Inspection ID_2019.0,Inspection ID_2017.0,Inspection ID_2013.0,Full Street Name from GIS_2018.0,Full Street Name from GIS_2020.0,Full Street Name from GIS_2022.0,Full Street Name from GIS_2021.0,Full Street Name from GIS_2019.0,Full Street Name from GIS_2017.0,Full Street Name from GIS_2013.0,Street End Type_2018.0,Street End Type_2020.0,Street End Type_2022.0,Street End Type_2021.0,Street End Type_2019.0,Street End Type_2017.0,Street End Type_2013.0,Main. Agency_2018.0,Main. Agency_2020.0,Main. Agency_2022.0,Main. Agency_2021.0,Main. Agency_2019.0,Main. Agency_2017.0,Main. Agency_2013.0,Pavement Type_2018.0,Pavement Type_2020.0,Pavement Type_2022.0,Pavement Type_2021.0,Pavement Type_2019.0,Pavement Type_2017.0,Pavement Type_2013.0,Year_2018.0,Year_2020.0,Year_2022.0,Year_2021.0,Year_2019.0,Year_2017.0,Year_2013.0,Number of Maintenance Events,Days Since Last Maintenance,Average Time Between Maintenances
TILLEY ST,5076922,SORIN ST,MORENO ST,"2018-04-15, 2018-04-15, 2018-04-15, 2018-04-15, 2018-04-15, 2019-11-04, 2019-11-04","CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL",1.0,,,,,,,TILLEY ST,,,TILLEY ST,,,,SORIN ST,,,SORIN ST,,,,MORENO ST,,,MORENO ST,,,,Collector,,,Collector,,,,C,,,B,,,,,,,2021 Data,,,,TILLEY ST,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,7,1740,94.66666666666667
TIMBER HEIGHTS DR,2046521,HORSE WAGON DR,SHAKER TRL,"2019-11-01, 2019-11-01, 2019-11-01, 2019-11-01, 2019-11-01, 2019-11-01, 2019-11-01","CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL",1.0,,,,,,,TIMBER HEIGHTS DR,TIMBER HEIGHTS DR,,,,,,HORSE WAGON DR,HORSE WAGON DR,,,,,,SHAKER TRL,SHAKER TRL,,,,,,Residential,Residential,,,,,,B,A,,,,,,,2020 Data,,,,,,TIMBER HEIGHTS DR,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,7,1743,0.0
TIMBER WOLF CIR,2030582,TIMBER WOLF TRL,5013,2018-04-10,FSMOL,0.0,,,,,,,TIMBER WOLF CIR,TIMBER WOLF CIR,,,,,,TIMBER WOLF TRL,TIMBER WOLF TRL,,,,,,5013,5013,,,,,,Residential,Residential,,,,,,D,F,,,,,,,2020 Data,,,,,,TIMBER WOLF CIR,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,1,2313,
TIMBER WOLF TRL,2039141,SAGE HEN DR,PONY CHASE,"2019-10-25, 2019-10-25, 2019-10-25","PMOL, PMOL, PMOL",0.0,,,,,,,TIMBER WOLF TRL,TIMBER WOLF TRL,,,,,,SAGE HEN DR,SAGE HEN DR,,,,,,PONY CHASE,PONY CHASE,,,,,,Residential,Residential,,,,,,D,B,,,,,,,2020 Data,,,,,,TIMBER WOLF TRL,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,3,1750,0.0
TIMBERCREST LN,2007144,WALLINGSTONE LN,FIRETHORN LN,"2019-05-28, 2019-05-28","SLCT6, SLCT6",1.0,,,,,,,TIMBERCREST LN,TIMBERCREST LN,,,,,,WALLINGSTONE LN,WALLINGSTONE LN,,,,,,FIRETHORN LN,FIRETHORN LN,,,,,,Residential,Residential,,,,,,B,C,,,,,,,2020 Data,,,,,,TIMBERCREST LN,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,2,1900,0.0
TINITA CT,2035067,GORHAM GLEN LN,5813,2016-10-11,SLURRY,,,,,1.0,1.0,,,,TINITA CT,,TINITA CT,TINITA CT,,,,GORHAM GLEN LN,,GORHAM GLEN LN,GORHAM GLEN LN,,,,5813,,5813,5813,,,,Residential,,Residential,Residential,,,,F,,B,B,,,,2022 Data,,,,,,,,,TINITA CT,TINITA CT,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,1,2859,
TINNAPARK LN,5109765,NUNSLAND DR,PECCARY DR,"2018-03-26, 2018-03-26, 2018-03-26, 2019-11-01, 2019-11-01, 2019-11-01","CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL",,,,,1.0,1.0,,,,TINNAPARK LN,,TINNAPARK LN,TINNAPARK LN,,,,NUNSLAND DR,,NUNSLAND DR,NUNSLAND DR,,,,PECCARY DR,,PECCARY DR,PECCARY DR,,,,Residential,,Residential,Residential,,,,A,,A,A,,,,2022 Data,,,,,,,,,TINNAPARK LN,TINNAPARK LN,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,6,1743,117.0
TIOMBE BND,2025014,LA CRESADA DR,SPIREA CV,"2018-08-14, 2018-08-14, 2018-08-14, 2018-08-14, 2018-08-14","SLCT6, SLCT6, SLCT6, SLCT6, SLCT6",,,,,1.0,1.0,,,,TIOMBE BND,,TIOMBE BND,TIOMBE BND,,,,LA CRESADA DR,,LA CRESADA DR,LA CRESADA DR,,,,SPIREA CV,,SPIREA CV,SPIREA CV,,,,Residential,,Residential,Residential,,,,B,,B,B,,,,2022 Data,,,,,,,,,TIOMBE BND,TIOMBE BND,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,5,2187,0.0
TIPPERARY CV,2030581,GABLE DR,12312,2017-05-19,SLCT6,1.0,,,,,,,TIPPERARY CV,TIPPERARY CV,,,,,,GABLE DR,GABLE DR,,,,,,12312,12312,,,,,,Residential,Residential,,,,,,C,D,,,,,,,2020 Data,,,,,,TIPPERARY CV,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,1,2639,
TITIAN DR,2009994,BRAKER LN W,NORTH BEND DR,2018-07-10,SLCT6,1.0,,,,,,,TITIAN DR,TITIAN DR,,,,,,BRAKER LN W,BRAKER LN W,,,,,,NORTH BEND DR,NORTH BEND DR,,,,,,Residential,Residential,,,,,,B,B,,,,,,,2020 Data,,,,,,TITIAN DR,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,1,2222,
TOM ADAMS DR,2012485,WANDERING WAY,BRAKER LN E,2019-07-18,SLCT6,1.0,,,,,,,TOM ADAMS DR,TOM ADAMS DR,,,,,,WANDERING WAY,WANDERING WAY,,,,,,BRAKER LN E,BRAKER LN E,,,,,,Residential,Residential,,,,,,C,B,,,,,,,2020 Data,,,,,,TOM ADAMS DR,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,1,1849,
TOM GREEN ST,2016751,35TH ST E,38TH ST E,"2019-01-08, 2019-01-08, 2019-01-08, 2019-01-08","CRCKSL, CRCKSL, CRCKSL, CRCKSL",1.0,,,,,,,TOM GREEN ST,,,TOM GREEN ST,,,,35TH ST E,,,35TH ST E,,,,38TH ST E,,,38TH ST E,,,,Residential,,,Residential,,,,B,,,C,,,,,,,2021 Data,,,,TOM GREEN ST,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,4,2040,0.0
TOM MILLER ST,3431861,BERKMAN DR,VAUGHAN ST,"2018-04-17, 2018-04-17, 2018-08-10, 2018-08-10, 2018-08-10, 2018-08-10, 2018-08-10, 2018-08-10, 2018-08-10, 2018-08-10, 2018-08-10, 2018-08-10, 2018-08-10","CRCKSL, CRCKSL, SLCT6, SLCT6, SLCT6, SLCT6, SLCT6, SLCT6, SLCT6, SLCT6, SLCT6, SLCT6, SLCT6",1.0,,,,,,,TOM MILLER ST,,,TOM MILLER ST,,,,BERKMAN DR,,,BERKMAN DR,,,,VAUGHAN ST,,,VAUGHAN ST,,,,Residential,,,Residential,,,,B,,,A,,,,,,,2021 Data,,,,TOM MILLER ST,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,13,2191,9.583333333333334
TOM WOOTEN CV,2032199,5800,TOM WOOTEN DR,"2016-10-07, 2019-11-01","SLURRY, CRCKSL",1.0,,,,,,,TOM WOOTEN CV,,,TOM WOOTEN CV,,,,5800,,,5800,,,,TOM WOOTEN DR,,,TOM WOOTEN DR,,,,Residential,,,Residential,,,,B,,,B,,,,,,,2021 Data,,,,TOM WOOTEN CV,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,2,1743,1120.0
TOM WOOTEN DR,2013162,TOM WOOTEN CV,SCOUT ISLAND CIR N,"2019-11-01, 2019-11-01","CRCKSL, CRCKSL",1.0,,,,,,,TOM WOOTEN DR,,,TOM WOOTEN DR,,,,TOM WOOTEN CV,,,TOM WOOTEN CV,,,,SCOUT ISLAND CIR N,,,SCOUT ISLAND CIR N,,,,Residential,,,Residential,,,,C,,,A,,,,,,,2021 Data,,,,TOM WOOTEN DR,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,2,1743,0.0
TOMANET TRL,2006109,GALWAY ST,PARMER LN W,"2018-07-25, 2018-07-25, 2018-07-25, 2018-07-25, 2018-07-25","STROL, STROL, STROL, STROL, STROL",1.0,,,,,,,TOMANET TRL,TOMANET TRL,,,,,,GALWAY ST,GALWAY ST,,,,,,PARMER LN W,PARMER LN W,,,,,,Collector,Collector,,,,,,C,B,,,,,,,2020 Data,,,,,,TOMANET TRL,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,5,2207,0.0
TOOMEY RD,2021147,JESSIE ST,STERZING ST,"2017-04-18, 2017-04-18","PMOL, PMOL",,,,,1.0,0.0,,,,,TOOMEY RD,TOOMEY RD,TOOMEY RD,,,,,JESSIE ST,JESSIE ST,JESSIE ST,,,,,STERZING ST,STERZING ST,STERZING ST,,,,,Collector,Collector,Collector,,,,,B,C,F,,,,,2021 Data,,,,,,,,TOOMEY RD,TOOMEY RD,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,2,2670,0.0
TORNASOL LN,3299887,CUL DE SAC,VIA VERDE DR,"2018-05-10, 2018-05-10","SLCT6, SLCT6",,,,,1.0,1.0,,,,TORNASOL LN,,TORNASOL LN,TORNASOL LN,,,,CUL DE SAC,,CUL DE SAC,CUL DE SAC,,,,VIA VERDE DR,,VIA VERDE DR,VIA VERDE DR,,,,Residential,,Residential,Residential,,,,C,,C,C,,,,2022 Data,,,,,,,,,TORNASOL LN,TORNASOL LN,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,2,2283,0.0
TORO CREEK CV,2037445,BINTLIFF DR,8633,2016-10-21,CRCKSL,1.0,,,,,,,TORO CREEK CV,TORO CREEK CV,,,,,,BINTLIFF DR,BINTLIFF DR,,,,,,8633,8633,,,,,,Residential,Residential,,,,,,A,C,,,,,,,2020 Data,,,,,,TORO CREEK CV,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,1,2849,
TOSCANA AVE,2017335,SENDERO HILLS PKWY,ALONDRA LN,"2016-10-19, 2016-10-19, 2016-10-19","SLCT6, SLCT6, SLCT6",1.0,,,,,,,TOSCANA AVE,,,TOSCANA AVE,,,,SENDERO HILLS PKWY,,,SENDERO HILLS PKWY,,,,ALONDRA LN,,,ALONDRA LN,,,,Residential,,,Residential,,,,C,,,C,,,,,,,2021 Data,,,,TOSCANA AVE,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,3,2851,0.0
TOULOUSE DR,2025814,COLLINGWOOD DR,QUEENSWOOD DR,"2018-06-26, 2018-06-26, 2018-06-26, 2018-06-26, 2018-06-26, 2018-06-26","SLCT6, SLCT6, SLCT6, SLCT6, SLCT6, SLCT6",,,,,1.0,1.0,,,,TOULOUSE DR,,TOULOUSE DR,TOULOUSE DR,,,,COLLINGWOOD DR,,COLLINGWOOD DR,COLLINGWOOD DR,,,,QUEENSWOOD DR,,QUEENSWOOD DR,QUEENSWOOD DR,,,,Residential,,Residential,Residential,,,,B,,C,C,,,,2022 Data,,,,,,,,,TOULOUSE DR,TOULOUSE DR,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,6,2236,0.0
TOWER VIEW CT,2017346,MANORWOOD RD,38TH ST E,"2017-07-24, 2017-07-24","PMOL, PMOL",1.0,,,,,,,TOWER VIEW CT,,,TOWER VIEW CT,,,,MANORWOOD RD,,,MANORWOOD RD,,,,38TH ST E,,,38TH ST E,,,,Residential,,,Residential,,,,B,,,C,,,,,,,2021 Data,,,,TOWER VIEW CT,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,2,2573,0.0
TOWNSBOROUGH DR,2016340,HILLCROFT DR,SHANNON DR,"2017-01-24, 2017-01-24, 2017-01-24","PMOL, PMOL, PMOL",1.0,,,,,,,TOWNSBOROUGH DR,,,TOWNSBOROUGH DR,,,,HILLCROFT DR,,,HILLCROFT DR,,,,SHANNON DR,,,SHANNON DR,,,,Residential,,,Residential,,,,B,,,C,,,,,,,2021 Data,,,,TOWNSBOROUGH DR,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,3,2754,0.0
TOYE DR,2046334,GUARNERE DR,RANDLEMAN DR,2019-09-17,LUSLCT6,,,,,0.0,0.0,,,,TOYE DR,,TOYE DR,TOYE DR,,,,GUARNERE DR,,GUARNERE DR,GUARNERE DR,,,,RANDLEMAN DR,,RANDLEMAN DR,RANDLEMAN DR,,,,Residential,,Residential,Residential,,,,C,,D,D,,,,2022 Data,,,,,,,,,TOYE DR,TOYE DR,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,1,1788,
TRACE CREEK PASS,3187659,QUICK STREAM BEND,NELSON PARKE DR,"2018-08-29, 2018-08-29","SLCT6, SLCT6",1.0,,,,,,,TRACE CREEK PASS,,,TRACE CREEK PASS,,,,QUICK STREAM BEND,,,QUICK STREAM BEND,,,,NELSON PARKE DR,,,NELSON PARKE DR,,,,Residential,,,Residential,,,,C,,,C,,,,,,,2021 Data,,,,TRACE CREEK PASS,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,2,2172,0.0
TRADING BND,2021574,PAINTED PONY CV,CRYSTAL WATER DR,"2017-05-02, 2017-05-02, 2017-05-02, 2017-05-02","SLCT6, SLCT6, SLCT6, SLCT6",,,,,0.0,0.0,,,,,TRADING BND,TRADING BND,TRADING BND,,,,,PAINTED PONY CV,PAINTED PONY CV,PAINTED PONY CV,,,,,CRYSTAL WATER DR,CRYSTAL WATER DR,CRYSTAL WATER DR,,,,,Residential,Residential,Residential,,,,,C,D,D,,,,,2021 Data,,,,,,,,TRADING BND,TRADING BND,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,4,2656,0.0
TRANSIT CIR,2005675,CALLISTO TER,TRANSIT CV,"2017-04-24, 2017-04-24, 2017-04-24","SLCT6, SLCT6, SLCT6",1.0,,,,,,,TRANSIT CIR,TRANSIT CIR,,,,,,CALLISTO TER,CALLISTO TER,,,,,,TRANSIT CV,TRANSIT CV,,,,,,Residential,Residential,,,,,,A,B,,,,,,,2020 Data,,,,,,TRANSIT CIR,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,3,2664,0.0
TRAVIS HILLS DR,2022088,TRAVIS COOK RD,BELL DR,2018-11-08,PMOL,,,,,1.0,1.0,,,,,TRAVIS HILLS DR,TRAVIS HILLS DR,TRAVIS HILLS DR,,,,,TRAVIS COOK RD,TRAVIS COOK RD,TRAVIS COOK RD,,,,,BELL DR,BELL DR,BELL DR,,,,,Residential,Residential,Residential,,,,,B,C,B,,,,,2021 Data,,,,,,,,TRAVIS HILLS DR,TRAVIS HILLS DR,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,1,2101,
TRAWOOD PATH,2028031,SUNLAND DR,MONTWOOD TRL,"2019-08-07, 2019-08-07","SLCT6, SLCT6",,,,,1.0,1.0,,,,TRAWOOD PATH,,TRAWOOD PATH,TRAWOOD PATH,,,,SUNLAND DR,,SUNLAND DR,SUNLAND DR,,,,MONTWOOD TRL,,MONTWOOD TRL,MONTWOOD TRL,,,,Residential,,Residential,Residential,,,,C,,B,B,,,,2022 Data,,,,,,,,,TRAWOOD PATH,TRAWOOD PATH,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,2,1829,0.0
TREADWELL ST,2021293,JOSEPHINE ST,JESSIE ST,"2017-02-17, 2017-02-17","PMOL, PMOL",,,,,0.0,0.0,,,,,TREADWELL ST,TREADWELL ST,TREADWELL ST,,,,,JOSEPHINE ST,JOSEPHINE ST,JOSEPHINE ST,,,,,JESSIE ST,JESSIE ST,JESSIE ST,,,,,Collector,Collector,Collector,,,,,D,D,F,,,,,2021 Data,,,,,,,,TREADWELL ST,TREADWELL ST,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,2,2730,0.0
TRELAWNEY LN,2027247,DAHLGREEN AVE,GALSWORTHY LN,2016-10-11,SLURRY,,,,,1.0,1.0,,,,TRELAWNEY LN,,TRELAWNEY LN,TRELAWNEY LN,,,,DAHLGREEN AVE,,DAHLGREEN AVE,DAHLGREEN AVE,,,,GALSWORTHY LN,,GALSWORTHY LN,GALSWORTHY LN,,,,Residential,,Residential,Residential,,,,C,,B,B,,,,2022 Data,,,,,,,,,TRELAWNEY LN,TRELAWNEY LN,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,1,2859,
TREVONE PATH,5056750,RODERICK LAWSON LN,HELMS DEEP DR,2018-03-21,CRCKSL,0.0,,,,,,,TREVONE PATH,TREVONE PATH,,,,,,RODERICK LAWSON LN,RODERICK LAWSON LN,,,,,,HELMS DEEP DR,HELMS DEEP DR,,,,,,Residential,Residential,,,,,,D,F,,,,,,,2020 Data,,,,,,TREVONE PATH,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,1,2333,
TRIANON LN,2039255,DORSETT RD,LADRIDO LN,2017-05-03,SLCT6,1.0,,,,,,,TRIANON LN,TRIANON LN,,,,,,DORSETT RD,DORSETT RD,,,,,,LADRIDO LN,LADRIDO LN,,,,,,Residential,Residential,,,,,,C,C,,,,,,,2020 Data,,,,,,TRIANON LN,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,1,2655,
TRIBUTARY RIDGE CT,2031100,6001,TRIBUTARY RIDGE DR,2019-11-01,CRCKSL,1.0,,,,,,,TRIBUTARY RIDGE CT,TRIBUTARY RIDGE CT,,,,,,6001,6001,,,,,,TRIBUTARY RIDGE DR,TRIBUTARY RIDGE DR,,,,,,Residential,Residential,,,,,,C,D,,,,,,,2020 Data,,,,,,TRIBUTARY RIDGE CT,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,1,1743,
TRIBUTARY RIDGE DR,2008192,BULL RIDGE DR,TRIBUTARY RIDGE CT,"2019-11-01, 2019-11-01, 2019-11-01, 2019-11-01","CRCKSL, CRCKSL, CRCKSL, CRCKSL",1.0,,,,,,,TRIBUTARY RIDGE DR,TRIBUTARY RIDGE DR,,,,,,BULL RIDGE DR,BULL RIDGE DR,,,,,,TRIBUTARY RIDGE CT,TRIBUTARY RIDGE CT,,,,,,Residential,Residential,,,,,,C,B,,,,,,,2020 Data,,,,,,TRIBUTARY RIDGE DR,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,4,1743,0.0
TRINITY HILL DR,2010201,PLAZA DR,RIDDLEWOOD DR,2019-07-20,SLCT6,1.0,,,,,,,TRINITY HILL DR,TRINITY HILL DR,,,,,,PLAZA DR,PLAZA DR,,,,,,RIDDLEWOOD DR,RIDDLEWOOD DR,,,,,,Residential,Residential,,,,,,C,B,,,,,,,2020 Data,,,,,,TRINITY HILL DR,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,1,1847,
TRINITY ST,2018051,17TH ST E,18TH ST E,"2017-11-04, 2017-11-04, 2017-11-04","PMOL, PMOL, PMOL",1.0,,,,,,,TRINITY ST,,,TRINITY ST,,,,17TH ST E,,,17TH ST E,,,,18TH ST E,,,18TH ST E,,,,Collector,,,Collector,,,,C,,,B,,,,,,,2021 Data,,,,TRINITY ST,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,3,2470,0.0
TRISSINO DR,5114968,ONDARA DR,JAVEA DR,"2018-03-26, 2018-03-26, 2018-03-26, 2018-03-26, 2018-03-26, 2018-03-26, 2019-11-01, 2019-11-01, 2019-11-01, 2019-11-01, 2019-11-01, 2019-11-01","CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL",,,,,1.0,1.0,,,,TRISSINO DR,,TRISSINO DR,TRISSINO DR,,,,ONDARA DR,,ONDARA DR,ONDARA DR,,,,JAVEA DR,,JAVEA DR,JAVEA DR,,,,Residential,,Residential,Residential,,,,A,,A,A,,,,2022 Data,,,,,,,,,TRISSINO DR,TRISSINO DR,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,12,1743,53.18181818181818
TROOPS TRL,2030507,ARMAGA SPRINGS RD,13130,2017-06-06,SLCT6,0.0,,,,,,,TROOPS TRL,TROOPS TRL,,,,,,ARMAGA SPRINGS RD,ARMAGA SPRINGS RD,,,,,,13130,13130,,,,,,Residential,Residential,,,,,,D,D,,,,,,,2020 Data,,,,,,TROOPS TRL,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,1,2621,
TUBEROSE TER,5065486,CORNFLOWER DR,RAIN LILY DR,2018-03-26,CRCKSL,,,,,1.0,1.0,,,,TUBEROSE TER,,TUBEROSE TER,TUBEROSE TER,,,,CORNFLOWER DR,,CORNFLOWER DR,CORNFLOWER DR,,,,RAIN LILY DR,,RAIN LILY DR,RAIN LILY DR,,,,Residential,,Residential,Residential,,,,B,,A,A,,,,2022 Data,,,,,,,,,TUBEROSE TER,TUBEROSE TER,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,1,2328,
TULSA CV,2040544,LOYOLA LN,6718,2019-06-03,PMOL,1.0,,,,,,,TULSA CV,,,TULSA CV,,,,LOYOLA LN,,,LOYOLA LN,,,,6718,,,6718,,,,Residential,,,Residential,,,,C,,,D,,,,,,,2021 Data,,,,TULSA CV,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,1,1894,
TUMBLEWEED DR,2015548,BURGUNDY DR,CRYSTALBROOK WEST,"2017-01-20, 2017-01-20","PMOL, PMOL",0.0,,,,,,,TUMBLEWEED DR,,,TUMBLEWEED DR,,,,BURGUNDY DR,,,BURGUNDY DR,,,,CRYSTALBROOK WEST,,,CRYSTALBROOK WEST,,,,Collector,,,Collector,,,,F,,,D,,,,,,,2021 Data,,,,TUMBLEWEED DR,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,2,2758,0.0
TUMBLING CREEK TRL,2035811,CRADLEROCK TER,12141,"2019-08-13, 2019-08-13","SLCT6, SLCT6",,,,,1.0,1.0,,,,TUMBLING CREEK TRL,,TUMBLING CREEK TRL,TUMBLING CREEK TRL,,,,CRADLEROCK TER,,CRADLEROCK TER,CRADLEROCK TER,,,,12141,,12141,12141,,,,Residential,,Residential,Residential,,,,B,,B,B,,,,2022 Data,,,,,,,,,TUMBLING CREEK TRL,TUMBLING CREEK TRL,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,2,1823,0.0
TURKEY HOLLOW TRL,3655328,YEADON WAY,ELWYN WAY,"2018-03-15, 2018-03-15, 2018-03-15, 2018-03-15","CRCKSL, CRCKSL, CRCKSL, CRCKSL",1.0,,,,,,,TURKEY HOLLOW TRL,TURKEY HOLLOW TRL,,,,,,YEADON WAY,YEADON WAY,,,,,,ELWYN WAY,ELWYN WAY,,,,,,Residential,Residential,,,,,,B,A,,,,,,,2020 Data,,,,,,TURKEY HOLLOW TRL,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,4,2339,0.0
TURNER,2010337,PROVINES DR,FERGUSON DR,"2017-10-26, 2017-10-26, 2017-10-26","PMOL, PMOL, PMOL",1.0,,,,,,,TURNER,TURNER,,,,,,PROVINES DR,PROVINES DR,,,,,,FERGUSON DR,FERGUSON DR,,,,,,Residential,Residential,,,,,,B,C,,,,,,,2020 Data,,,,,,TURNER DR,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,3,2479,0.0
